,,FGM,FGA,,3M,3A,,FTM,FTA,,Clutch SM,REB,OPPReb,Off REB,Opp Off Reb,Turn,OppTurn,steal,Top 25,Overtime,Steal:Turnover Ratio,Clutch Value Sum
West Virginia,,1,4,25,0,3,0,10,12,83.3333333333333,-3,7,4,3,2,4,0,0,0,0,0,
Western Carolina,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Western Illinois,,7,13,53.8461538461538,2,6,33.3333333333333,10,14,71.4285714285714,8,5.5,3.5,0.5,0,1,3,2,0,0,2,
Western Kentucky,,10,21,47.6190476190476,1,9,11.1111111111111,10,16,62.5,-2.66666666666667,5,6,1,2,2.33333333333333,0.666666666666667,0,0,0,0,
Western Michigan,,2,6,33.3333333333333,1,3,33.3333333333333,4,10,40,-4,5,5,2,0,0,3,2,0,0,0,
Wichita St.,,4,8,50,0,5,0,18,25,72,-2.5,5,6,0.5,1.5,0.5,1,1,0,0,2,
William & Mary,,6,8,75,2,3,66.6666666666667,6,10,60,-4,3.5,3,0,1,2.5,0,0,0,0,0,
Winthrop,,17,35,48.5714285714286,3,13,23.0769230769231,22,27,81.4814814814815,7.25,6,4,2.25,1.5,1,3.75,2.25,0,0,2.25,
Wisconsin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Wofford,,5,10,50,3,6,50,1,2,50,3,7,4,1,1,0,1,1,0,0,0,
Wright St.,,5,7,71.4285714285714,0,1,0,2,4,50,-1,3,3,1,0,2,3,3,0,0,1.5,
Wyoming,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Xavier,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Yale,,3,7,42.8571428571429,3,4,75,0,0,0,-2,4,6,2,4,3,0,0,0,0,0,
Youngstown St.,,10,21,47.6190476190476,3,9,33.3333333333333,14,16,87.5,-9,9,13,3,3,3,2,1,0,1,0.333333333333333,
