,Team,,Top25,Home,OT,Opponent,Date,,FGM,FGA,,3M,3A,,FTM,FTA,,SM,Clutch SM,REB,OPPReb,Off REB,Opp Off Reb,Turn,OppTurn,steal,Win,ComeFromBehindWins,BlownLeadClutchLoss,Away,Neutral,Top 25,Overtime,Opp Historical Value,Opp Historical Value 1-100,Opp Historical Value 101-200,Opp Historical Value 300+,Opp Current Value,SOS of Game,% of points in clutch,Opp % of points in clutch,"Had Lead, but Lost",Came back from deficit and won,Perfect Fg,Perfect 3Fg,Perfect Ft,Free throws lost game,Made a 10+ marg into clutch game ,20% of scoring came during clut,"Clutch Shot differential? Move Value to part of SOS, average clutch last year?, percentage of clutch points from 3 and ft, opp 2 fg and 3fg",Clutch Value
Team:,,,,,,,,,Sum:,Sum:,,Sum:,Sum:,,Sum:,Sum:,,,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Average:,Sum:,Sum:,,Sum:,Sum:,Sum:,,,,,,,,,,,,,,,,,,Sum:
Brown,,,,,,,,,10,31,,5,20,,7,9,,,-3.66666666666667,5.66666666666667,6,3,2,2.66666666666667,2.33333333333333,1.66666666666667,0,0,1,,1,0,1,,,,,,,,,,,,,,,,,,8.1176
,Brown,,0,NEUTRAL,0,Maine,"Nov 10, 2024",,1,5,0.2,0,2,0,2,2,1,-2,-8,1,3,0,0,5,4,4,0,0,1,0,1,0,0,7.106,,,,,,0.0597014925373134,0.173913043478261,1,0,0,0,0,0,0,0,,0.76
,Brown,,0,AWAY,1,Siena,"Nov 4, 2024",,6,13,0.461538461538462,2,5,0.4,5,7,0.714285714285714,-1,-1,8,10,3,5,2,2,1,0,0,0,1,0,0,1,10.708,,,,,,0.267605633802817,0.277777777777778,0,0,0,0,0,0,0,1,,5.5581
,Brown,,0,HOME,0,Holy Cross,"Nov 16, 2024",,3,13,0.230769230769231,3,13,0.230769230769231,0,0,0,-8,-2,8,5,6,1,1,1,0,0,0,0,0,0,0,0,8.725,,,,,,0.138461538461538,0.150684931506849,0,0,0,0,0,0,0,0,,1.7995
Bryant,,,,,,,,,3,14,,0,3,,5,5,,,-9,10,8,5,3,7,4,1,0,0,1,,0,0,1,,,,,,,,,,,,,,,,,,-0.2607
,Bryant,,0,HOME,1,Siena,"Nov 8, 2024",,3,14,0.214285714285714,0,3,0,5,5,1,-2,-9,10,8,5,3,7,4,1,0,0,1,0,0,0,1,10.708,,,,,,0.125,0.222222222222222,1,0,0,0,1,0,0,0,,-0.2607
Bucknell,,,,,,,,,21,46,,4,18,,23,37,,,2,10.3333333333333,11.6666666666667,2.33333333333333,4,4.33333333333333,3.66666666666667,2.33333333333333,0.666666666666667,2,1,,0,0,3,,,,,,,,,,,,,,,,,,21.8
,Bucknell,,0,HOME,1,Mount St. Mary's,"Nov 13, 2024",,7,15,0.466666666666667,2,7,0.285714285714286,6,11,0.545454545454545,-4,-10,6,13,1,4,5,5,3,0,0,1,0,0,0,1,13.2,,,,,,0.247191011235955,0.344086021505376,1,0,0,0,0,1,0,1,,-2.9097
,Bucknell,,0,AWAY,1,Southern Indiana,"Nov 7, 2024",,6,15,0.4,0,4,0,9,14,0.642857142857143,6,12,15,8,5,2,3,2,1,1,1,0,1,0,0,1,11.171,,,,,,0.28,0.130434782608696,0,1,0,0,0,0,0,1,,14.9657
,Bucknell,,0,HOME,1,Richmond,"Nov 16, 2024",,8,16,0.5,2,7,0.285714285714286,8,12,0.666666666666667,4,4,10,14,1,6,5,4,3,1,1,0,0,0,0,1,36.909,,,,,,0.325,0.289473684210526,0,0,0,0,0,0,0,1,,9.744
