,,,,,-0.0143214,-0.8651815,2.232438,0.7017919,-5.222409,1.657324,1779.948,519.7707,-31.66588,1006.611,-4806.844,402.5341,-1946.194,-6.12827,-1.108895,929.5971,-22.36771,75.8617,13.85521,-181.5876,1065.952,-153.3246,13.11626,17.18644,329.7633,723.3885,-654.5281,-18.08019,-0.2245623,0.3791122,3.989411,19.93224,-75.99378,56.93902,24.58319,-100.6839,244.5489,-136.7003,-5.022856,1.282506,321.3072,861.5658,,
,Coach Name,Conference,Tournament team,,Coach Value,SOS Median,SOS Min,SOS Max,SOS STDEV,Expected Value,FG%,% of Points from 3,Fouls Per Game,Free Throw %,Opp Shooting %,Opp Three Point %,Opp % of Points from 3,Opp Turnovers Per Game,Rebounds Per Game,Rebound Percent,Scoring Margin,Turnover Margin,Rebound Margin,Offensive Eff,Defensive Eff,A/T Ratio,PPG,Off Rebounds Per Game,Assists Per FGM,Opp Assists Per FGM,Opp Turnover Per Off Play,Steals Per Game,Clutch FG,Clutch 3FG,Clutch FT,SM,REB,OPPReb,Oreb,OpOreb,Turn,OppTurn,Top 25,Overtime,Steal:Turnover Ratio,,,Value
DePaul,Chris Holtmann,Big East,NO,,105.123646785713,55.0224970800491,-18.5764172153389,86.4301455912591,44.5955432936149,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Colgate,Matt Langel,Patriot,NO,,63.9696436770044,13.5342544154,-23.402849281358,50.471358112158,52.2369530027365,,,,,,,,,,,,,,,,,,,,,,,,33.3333333333333,0,66.6666666666667,0,5,5,1,1,2,2,0,0,1,1,,
Charleston,Chris Mack,CAA,NO,,58.6699449754308,15.0978419998532,-17.3980009833737,27.9150296670603,21.2813991922441,,,,,,,,,,,,,,,,,,,,,,,,44,25,71.4285714285714,-6,16,10,6,2,4,2,0,1,0.25,1,,
Northwestern,Rick Cabrera,Southland,NO,,4.3623276756,2.67462253688139,-22.2496939156375,107.80129392816,53.1987979910921,,,,,,,,,,,,,,,,,,,,,,,,60,60,80.7692307692308,1.66666666666667,6,4,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,0,1,0.500000000000002,1,,
Iowa,Fran McCaffery,Big Ten,NO,,95.2636455602841,-3.6586212534228,-35.7882938897852,19.8678549043928,28.6614106567835,,,,,,,,,,,,,,,,,,,,,,,,50,66.6666666666667,85.7142857142857,8,7,6,1,2,0,3,0,0,0,1,,
UAB,Jim Les,Big West,NO,,33.180446316487,-1.4642553246677,-35.0823133558777,16.1328019774557,23.8402024996273,,,,,,,,,,,,,,,,,,,,,,,,41.1764705882353,12.5,90.9090909090909,2,7,4,2.5,0.5,1,0.5,0,0,0.5,1,,
Dayton,Anthony Grant,A10,NO,,83.5186746700699,4.9852057195547,-4.7374401127513,17.8737706512792,11.3424850319139,,,,,,,,,,,,,,,,,,,,,,,,83.3333333333333,50,54.5454545454545,3,4,4,1,0,2,2,0,0,1,1,,
UC Santa Barbara,Johnny Dawkins,Big 12,NO,,46.9411845693311,3.12990429619867,-5.37311710446333,169.482965574395,98.5903071802389,,,,,,,,,,,,,,,,,,,,,,,,40,40,86.6666666666667,-4,3,6.5,0,2.5,2,0,0,0,0,1,,
Boise St.,Leon Rice,Mountain West,NO,,83.1948179280952,29.327288559409,-15.560339457203,110.984233732194,64.1564297214181,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
VCU,John Becker,American East,NO,,83.1017278201824,4.89674757150632,-15.0992253730609,57.9846005066273,33.0988423453254,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,
