Team,,FGM,FGA,FG3sM,FG3sA,FTM,FTA,OReb,DReb,AST,TO,STL,PF,PTS_OFF_TURN,FST_BREAK,PTS_PAINT,Points,Opp Points,Win,Loss,OPP_FGM,OPP_FGA,OPP_FG3sM,OPP_FG3sA,OPP_OReb,OPP_DReb,OPP_AST,OPP_TO,OPP_PF,OPP_PTS_OFF_TURN,OPP_FST_BREAK,OPP_PTS_PAINT
Colorado St.,,113,232,28,95,56,80,8,26.5,19.5,12,7,19,16.5,12.75,34,78,71,3,1,100,230,29,81,10.25,24.75,11.5,15.75,20,13,4.5,25.5
Columbia,,140,293,45,124,82,112,11.6,23.8,17,11,7.2,15,13,12.4,34.8,81.4,71.6,3,1,132,295,36,107,9.6,21.4,16.2,12.2,18.8,12,10,28.4
Connecticut,,99,188,34,92,42,59,14,29.6666666666667,23,10,7.33333333333333,17,17.6666666666667,15.6666666666667,43.3333333333333,91.3333333333333,52.6666666666667,3,0,55,158,15,49,6,18.6666666666667,8,14.6666666666667,16.6666666666667,7.33333333333333,3.33333333333333,24
Coppin St.,,121,346,26,110,60,96,9.5,22.1666666666667,8.5,13.6666666666667,6.66666666666667,17.1666666666667,11.1666666666667,6.5,26,54.6666666666667,78,3,1,165,332,58,152,8.66666666666667,31,16.3333333333333,12.1666666666667,12.3333333333333,15.1666666666667,11.8333333333333,32
Cornell,,83,183,25,85,55,81,13.3333333333333,23.3333333333333,17,14.6666666666667,7.33333333333333,22.3333333333333,10.3333333333333,16,38,82,83.3333333333333,3,1,82,188,25,72,13.6666666666667,23.6666666666667,11.6666666666667,14,20.6666666666667,24,11,34
Creighton,,125,239,35,111,67,82,9.75,36,20.25,13.25,3.25,11.5,15,14,44,88,63.75,3,1,97,290,36,127,12.75,20.75,10.5,10,14.25,13.5,5.25,22.5
Dartmouth,,64,163,19,71,57,87,9,26.6666666666667,13,13.3333333333333,4,11.3333333333333,8.66666666666667,9.33333333333333,27.3333333333333,68,80.3333333333333,3,1,90,192,28,79,9.66666666666667,29.3333333333333,14.3333333333333,10,19.6666666666667,14.3333333333333,9,34.6666666666667
Davidson,,55,108,13,36,44,60,11,25.5,12,13,3,17,10,7.5,39,83.5,77.5,3,1,55,116,20,45,7.5,19.5,11,9,22.5,12,8,30
Dayton,,81,167,20,72,53,79,9,27.6666666666667,17.6666666666667,9.66666666666667,9.33333333333333,14.3333333333333,17,16.6666666666667,38,78.3333333333333,64,3,1,67,166,19,59,6.66666666666667,24.6666666666667,10.6666666666667,14.6666666666667,19,9,9,26.6666666666667
Delaware,,74,176,20,61,50,67,9.33333333333333,27.3333333333333,9.66666666666667,14.6666666666667,7.33333333333333,19.3333333333333,14.3333333333333,14.6666666666667,26,72.6666666666667,73.3333333333333,3,1,78,197,23,64,17,27.6666666666667,11.6666666666667,14.6666666666667,17.3333333333333,15.3333333333333,9.33333333333333,34
Delaware St.,,43,117,4,18,32,44,12.5,22,13.5,15.5,8,21,15,12,24,61,83,3,1,54,120,21,60,15,27,19,16,17,16,11.5,31
Denver,,68,161,17,53,53,65,10.6666666666667,22.3333333333333,9,19,6.66666666666667,18,11,7.66666666666667,22.6666666666667,68.6666666666667,79,3,2,84,179,15,61,12,23,15.6666666666667,12,16.6666666666667,22.3333333333333,12.3333333333333,42
DePaul,,121,241,47,120,62,91,11.5,29.75,19.75,13.25,5.75,14.5,15.75,11.75,36,87.75,64.75,3,1,97,250,18,75,11.75,19.75,10,13.75,15.75,8.75,10.5,34
Detroit Mercy,,72,176,23,61,49,74,14.3333333333333,27.6666666666667,11,16,6,18,11.3333333333333,11.3333333333333,27.3333333333333,72,82.3333333333333,3,1,85,188,27,87,10.3333333333333,24,17,11,16.6666666666667,18,12.3333333333333,36.6666666666667
Drake,,41,88,16,43,31,50,10,19,12.5,16.5,9,12.5,20,5,24,64.5,56,3,0,45,98,8,27,10,18.5,8,17,17,14.5,3.5,32
Drexel,,76,187,26,82,24,38,11.3333333333333,30,14.3333333333333,9.66666666666667,3.33333333333333,14.6666666666667,4,5,28.6666666666667,67.3333333333333,65.3333333333333,3,1,68,175,16,61,8.33333333333333,26.3333333333333,11,7.33333333333333,11,13.6666666666667,10.6666666666667,29.3333333333333
Duke,,128,267,48,129,50,66,13.25,31,18,9.5,8.75,14.75,16.75,12.25,37,88.5,58,3,1,81,241,26,101,9.75,23,10.25,14.25,15.5,11.75,6.75,22.5
Duquesne,,72,178,20,63,34,58,9.33333333333333,23.6666666666667,11.6666666666667,10.6666666666667,5.66666666666667,19,9.66666666666667,9.33333333333333,30,66,78.6666666666667,3,1,77,155,33,70,6.33333333333333,28,17.3333333333333,13,14.6666666666667,8,11,28.6666666666667
East Carolina,,41,122,11,50,48,72,20,26,8,9,8,20,9.5,10,24,70.5,68,3,1,46,119,14,44,12.5,28.5,12,12.5,28,8.5,5,30
East Tennessee St.,,53,117,16,47,26,43,14.5,18.5,8.5,10,6,22,16.5,6,29,74,79,3,1,56,108,15,36,12.5,21,11.5,12.5,19,11,10.5,35
East Texas A&M,,104,232,30,100,37,60,9,23.75,12,18.5,7.25,23.25,15.25,10,37,68.75,83.75,3,1,120,256,29,80,14.25,25.25,17.25,12.75,12.75,22.25,14.5,41
Eastern Illinois,,72,186,14,51,22,42,9,20,11,13.3333333333333,7.33333333333333,21,9.66666666666667,6.33333333333333,21.3333333333333,60,89.6666666666667,3,1,90,178,27,79,12.3333333333333,32,18.6666666666667,13.3333333333333,13.6666666666667,16,16.3333333333333,37.3333333333333
Eastern Kentucky,,56,122,18,49,14,20,13,18.5,11.5,13.5,7,24,15,8,25,72,76.5,3,1,54,122,13,48,20,21.5,12,12.5,13,15,8.5,35
Eastern Michigan,,66,174,22,68,27,46,13,23.3333333333333,9.66666666666667,14.6666666666667,7.66666666666667,17,10.6666666666667,9.33333333333333,26,60.3333333333333,68.6666666666667,3,1,63,160,20,62,11.3333333333333,25.6666666666667,12,13.3333333333333,15.6666666666667,12.3333333333333,8.66666666666667,21.3333333333333
Eastern Washington,,84,173,23,63,35,46,7,21.6666666666667,17.3333333333333,11.6666666666667,9.66666666666667,20,17,9.33333333333333,36.6666666666667,75.3333333333333,82,3,1,81,166,31,63,10.3333333333333,23.3333333333333,15.6666666666667,13.6666666666667,14.6666666666667,14,9.33333333333333,30.6666666666667
Elon,,52,116,21,52,30,41,11,25.5,12,13.5,4,11.5,11,5.5,27,77.5,85,3,1,58,139,23,55,16,22.5,19,8,10,13,13,31
Evansville,,70,162,29,89,38,56,7.66666666666667,17.3333333333333,13.3333333333333,12.3333333333333,5.66666666666667,15,13.3333333333333,9.66666666666667,25.3333333333333,69,84,3,1,90,171,21,58,12.6666666666667,26,12.3333333333333,11.6666666666667,13.3333333333333,16,6.66666666666667,40.6666666666667
Fairfield,,63,194,15,67,36,52,14,22.3333333333333,11.3333333333333,11.6666666666667,6.66666666666667,20.3333333333333,8.33333333333333,9.66666666666667,26.6666666666667,59,73.6666666666667,3,1,75,163,16,51,9,32,12.6666666666667,13.3333333333333,20.3333333333333,11.3333333333333,15,35.3333333333333
Fairleigh Dickinson,,104,241,33,93,46,65,9,20.25,11.5,14.25,6,16.25,13.5,4.25,32,71.75,94.25,3,1,138,267,36,101,13.75,27.75,19,10.75,15.75,22.25,13.75,45
FIU,,50,132,11,40,34,46,12.5,23.5,12,13,11,24,21,24,37,72.5,78.5,3,1,49,98,8,36,8.5,31,14,20,18,14.5,17.5,36
Florida,,124,245,29,101,75,101,13.25,27.75,14,12.75,7.75,14.5,19,14.5,44.5,88,69.75,3,1,103,253,29,83,12,19.25,10.75,15,19.75,11.75,10.25,31.5
Florida A&M,,49,145,17,66,32,61,7.33333333333333,20.6666666666667,10.6666666666667,15,3.66666666666667,17.6666666666667,5.33333333333333,4.66666666666667,17.3333333333333,61.6666666666667,97,3,1,108,202,29,72,9.33333333333333,26.6666666666667,19.3333333333333,10.3333333333333,16.6666666666667,19.3333333333333,17,30.6666666666667
Florida Atlantic,,135,260,49,107,65,90,8,28.75,17.25,14.5,9.25,22.75,21,12.25,39,96,89.25,3,1,121,267,51,129,9.75,26.25,18.5,15.25,14.75,15,9.5,29.5
Florida Gulf Coast,,94,220,26,94,27,39,7,23,10.75,12.5,5.5,16.25,11.5,5.25,31.5,60.25,69.25,3,1,94,220,32,95,10.75,25,11.75,11.5,11.25,14.5,10.75,29
Florida St.,,100,236,20,82,73,111,10.75,22.75,11.75,12.5,11.5,18.5,19.75,11.75,36,73.25,66.5,3,1,84,208,29,96,9.75,26.75,11.5,19.75,19.25,9.5,5.25,22.5
Fordham,,89,239,37,113,56,82,10.5,24.5,12.5,12.75,8.25,18.25,16,8.75,22.5,67.75,72.25,3,1,107,236,25,70,11.75,30,16.25,14.5,19.25,12,12.25,36
Fresno St.,,73,184,18,68,42,62,10.3333333333333,23,10,13.6666666666667,9,18.3333333333333,17,16,33.3333333333333,68.6666666666667,74,3,1,81,178,21,70,11.3333333333333,30,10.6666666666667,17.6666666666667,19,17.6666666666667,9.33333333333333,30
Furman,,76,174,38,97,39,51,8.33333333333333,27,17.6666666666667,12.3333333333333,7.33333333333333,13.3333333333333,13.6666666666667,10.6666666666667,22,76.3333333333333,70,3,1,79,178,17,59,9.33333333333333,24.6666666666667,12.6666666666667,12,15,11,8.66666666666667,40
Gardner Webb,,110,227,26,71,50,72,11,23,11,16.25,5.75,15.5,10.75,6.25,38,74,81,3,1,116,239,30,96,10.5,20.75,15.75,10.25,14,18,13,36
George Mason,,121,277,32,110,104,139,12.4,29,13,16,7.2,19.8,12.6,11,31.6,75.6,68.8,3,1,110,316,38,139,14.8,21.4,11.4,12,20.8,14.8,8.4,23.2
George Washington,,86,183,18,75,53,69,13,28.3333333333333,12.6666666666667,12.3333333333333,10,14.6666666666667,17,11.3333333333333,44,81,64.3333333333333,3,1,72,186,18,56,11.3333333333333,21.6666666666667,8.33333333333333,14,16.6666666666667,12,5.33333333333333,26.6666666666667
Georgetown,,80,191,19,74,38,51,15.6666666666667,22.3333333333333,14,12.3333333333333,9,12,15.6666666666667,10.3333333333333,30,72.3333333333333,72.6666666666667,3,1,80,173,27,66,9.66666666666667,23.6666666666667,16,14.6666666666667,15.3333333333333,7,9.33333333333333,28.6666666666667
Georgia,,116,240,25,85,85,116,14.25,30,14.25,12.25,5.25,15.75,13,11,44.5,85.5,72,3,1,107,259,30,107,9,19,12.5,9.75,20,13.5,6.75,29
Georgia Southern,,152,319,46,141,70,111,11.6,25.4,11.2,16.6,9.2,26,24.2,12,39.2,84,84.2,3,1,125,286,37,139,11.4,28,11.8,16,14.6,17.6,15.2,33.2
Georgia St.,,73,198,17,58,41,61,14,28.6666666666667,12,10.3333333333333,4.33333333333333,21.6666666666667,11.6666666666667,10.3333333333333,28,68,79.6666666666667,3,1,90,205,25,88,13,30,16.3333333333333,8.66666666666667,9.66666666666667,14.6666666666667,12.6666666666667,39.3333333333333
Georgia Tech,,115,268,37,115,61,85,12.5,30,16.75,12.25,4.25,19.25,13.75,9.75,33.5,82,76.5,3,1,108,255,24,78,9.75,27,11,10.25,17.5,11.5,11.5,35.5
Gonzaga,,112,209,31,77,47,62,13.6666666666667,29.6666666666667,22.3333333333333,9.33333333333333,10.6666666666667,14.6666666666667,20,24.6666666666667,46.6666666666667,100.666666666667,65.6666666666667,3,1,71,175,15,66,7.66666666666667,22.3333333333333,8.33333333333333,15.6666666666667,16,9.66666666666667,6.33333333333333,32.6666666666667
Grambling St.,,44,99,11,31,27,37,5,26.5,7,20,5.5,18,13,4.5,25,63,76,3,1,52,129,13,49,13.5,25.5,13,9,15.5,24,16.5,36
Grand Canyon,,78,178,21,65,62,86,12,22.3333333333333,12.6666666666667,14.6666666666667,9.66666666666667,19,17,10,31.3333333333333,79.6666666666667,79.3333333333333,3,1,81,165,26,63,6.66666666666667,23,11.6666666666667,16,19,18.3333333333333,11.6666666666667,29.3333333333333
Green Bay,,106,233,45,128,47,59,6.5,23,13.5,12,5,16.5,9.5,6.25,30.5,76,82.75,3,1,116,250,37,90,15,26.25,12.75,11.25,15.5,16.5,6.25,36
Hampton,,55,189,19,75,34,43,17.3333333333333,20.3333333333333,7.33333333333333,13,6.66666666666667,13,11.6666666666667,2.66666666666667,18.6666666666667,54.3333333333333,69.6666666666667,3,1,73,161,24,74,11.6666666666667,27.6666666666667,13.3333333333333,12.6666666666667,9.66666666666667,14.6666666666667,8.66666666666667,30
Harvard,,123,284,36,124,54,80,9.2,24.2,12.8,13.2,5.8,16.2,10.4,9.8,27.6,67.2,76.8,3,1,136,294,42,109,9.6,25.4,16,10.8,15.6,19,13.8,33.6
Hawaii,,55,107,9,36,37,49,8,25,9,9,3,21,7.5,7,40,78,67.5,3,0,44,111,8,25,10.5,19.5,5.5,8,21.5,12,8.5,31
High Point,,105,214,36,91,71,92,8.5,28,14.75,11.25,5.5,16.25,10.5,11.25,32,79.25,61.75,4,0,85,227,25,75,10.5,20.75,8.5,12.25,19,12,9.25,23.5
Hofstra,,74,165,25,67,41,55,9.66666666666667,28,15,14,6,19,13,13,31.3333333333333,71.3333333333333,65,3,1,65,174,25,73,13.6666666666667,23.6666666666667,11.6666666666667,12.6666666666667,19.3333333333333,17.6666666666667,5,25.3333333333333
Holy Cross,,126,277,53,128,62,83,8.6,22.2,11.2,10.8,4.6,14.6,9.4,3.6,23.2,73.4,77.6,3,1,137,285,44,125,9.4,23.8,15.6,10.8,13.6,14.6,13.2,34.4
Houston,,94,193,27,56,42,56,14.6666666666667,24.6666666666667,13,9.66666666666667,11.3333333333333,15,26,13.3333333333333,34.6666666666667,85.6666666666667,53,3,1,55,144,17,67,7.66666666666667,21,9.66666666666667,18.6666666666667,18.6666666666667,5.66666666666667,5.33333333333333,20.6666666666667
Houston Christian,,36,122,15,65,15,20,11.5,20.5,7,13.5,6.5,13,9.5,7.5,15,51,84,3,1,65,114,17,42,6.5,32.5,17.5,8.5,9,17,16.5,43
Howard,,77,175,28,65,25,42,8.33333333333333,20,15.3333333333333,16,6.66666666666667,14.6666666666667,8,3.66666666666667,26.6666666666667,69,82.6666666666667,3,1,89,163,21,64,8.66666666666667,27,12,12.6666666666667,12.6666666666667,20,13,39.3333333333333
Idaho,,73,168,29,73,38,59,8,23.3333333333333,12.6666666666667,16,5.33333333333333,20.6666666666667,9,6,28,71,88,3,1,93,186,25,79,12,26.6666666666667,15,10,18.3333333333333,19.6666666666667,14.6666666666667,40.6666666666667
Idaho St.,,64,171,15,62,52,68,13,28.6666666666667,12,14,4,19.6666666666667,7.66666666666667,6.33333333333333,30,65,65.3333333333333,3,1,66,171,17,70,8.66666666666667,24.3333333333333,15,12.3333333333333,18.6666666666667,13.6666666666667,11,28
Illinois,,82,182,38,105,66,91,14,33.3333333333333,16,12,4.33333333333333,15.3333333333333,11.3333333333333,9.66666666666667,28,89.3333333333333,59.6666666666667,3,1,68,194,14,61,11,21,8.33333333333333,11.6666666666667,21.3333333333333,11,6,24.6666666666667
Illinois Chicago,,56,122,22,55,31,45,11.5,26.5,17,14.5,6,19,16.5,7,31,82.5,81,3,1,52,110,18,39,7,25.5,15.5,12.5,17.5,9.5,5.5,27
Illinois St.,,76,170,26,80,49,58,7.66666666666667,29,12.6666666666667,9.66666666666667,4.33333333333333,15.3333333333333,14.6666666666667,5.66666666666667,27.3333333333333,75.6666666666667,70,3,1,79,187,28,89,9.33333333333333,25.3333333333333,11.3333333333333,10.3333333333333,19,11.6666666666667,4,32
