,,,,,,,,,,,,,,,0.021701,,30.308242,,,-0.047141,0.027940,-0.053836,9.196241,-0.990671,0.030760,,,,-11.605601,5.686516,0.025252,-0.113503,-1.425271,7.313026,-0.717301,0.493466,-9.123210,11.324218,0.015623,-2.312359,,,,,,,,,,,,-3.518034,-1.139866,0.204473,0.901212,-0.618228,0.301871,2.440042,4.580603,-0.893053,1.083057,2.572807,10.681670,,0.071559,0.257572,,2.928180,,,10.945312,,,1.652777,-0.739109,0.013070,-1.188753,2.862905,,-1.475295,0.032056,-0.051241,7.551391,9.686542,,-1.075813,0.544312,0.345482,2.919113,-1.531943,1.941341,4.871920,0.908134,1.963017,0.192827,-1.218645,-1.089363,,,,8.528654,,,0.076186,0.846192,-0.113265,,,,,,,,,2.850362,,,
,Coach Name,Conference,MM Team,AQ,First YR coach at prog,Top 12 week 6,cmplt coach for 2026,,Wins Prior to Season,Losses Prior to Season,Wins at School,Losses at School,Season Wins,Season Losses,Wins total,Losses total,Win %,Record at School,Sub .500 5+ years at school,Number of seasons coached (including current season),Number of Consecutive Seasons at Current School (INC Current),Number of Power Coaching Seasons (including season),March appearances entering season,POWER SCHOOL March appearances entering season,Number of seasons coached squared max 10,Coached During Covid,"Number of Seasons missing march, but did not start season coaching",Power %,Sub 500 with more than 5 seasons coaching,Reaching March Percentage,March Appearances Squared Max 10,Years without reaching March,Reaching March Percentage as Power Coach (Blue means coached covid while power),First March Apperance,Years before First March Appearance,March wins,March losses,March win %,March wins squared max 10,Mid major,Sec,Big 12,Big Ten,Big East,PAC 12,ACC,Sweet 16 Games,Elite 8 Games,Final 4 Games,Champion games,Champion wins,Seasons between March appearances,Number of Tournaments since March win,Consecutive March Appearances (Prior to season),Largest Consecutive March Appearance Streak,Number of seasons top 3 in mid major conference and missed tournament (top 2 in division),AQ Prior to Season,Power AQ prior to Season,Percent of Mid Major seasons either top 3 and or march madness,Percent of AQ March Appearances ,Percent of AQ March Appearances as Power Coach,Perfect AQ%,Perfect AQ Power Conference,Winning seasons entering season,Consecutive 20+win seasons entering season,20+ win seasons,25+ win seasons,30+ win seasons,Winning Season Total,20 Season for Champ Contender,"% of winning  seasons (not including 500, 10+ games seasons)",Winning Season,Losing Season,Consecutive Winning Seasons Prior to Season,Consecutive Losing Seasons Prior to Season,Largest Win Streak,Largest win streak sub 4 with 10+ seasons,Consecutive Winning Seasons,,Consecutive Losing Seasons ,Consecutive Winning Seasons Squared,Consecutive Losing Seasons Squared,White,Coaches Son,Violations/Legal Trouble Indicator,Former player,Former P5 Player,Former D1 Guard,Former D1 Forward (NOT CENTER),Former NBA Player,Overseas/non NBA professional Player,Former NBA Coach,Overseas/non NBA professional Coach (Not college level),Former power assistant,Former mid major assistant,Both POWER AND MID,"NO Power, Mid, NBA, Other professional (AKA only D2/D3/JUCO/HS)",Increased win percentage in current season,Win Percentage,Previous Season Win Percentage,Change in record for first year coach at program,Previous year record as a coach,Consecutive seasons improving record prior to season,Consecutive seasons improving record Including season,Coaches change of record,Years since Last Head Coach Job,Previous Year Coaching Value,Run of improving/weakening coaching record prior to season (next column to simplify next season),Coaching Trend,School Has been Upset 2+ times in previous 5 years,Winless March over past 5 years for School,Championship Criteria,AP + UPSET + MM Year Prior INDY,5 Year coach gap,Started Season as Head Coach,NOTES***,,Score
Holy Cross,Dave Paulsen,Patriot,FALSE,FALSE,FALSE,FALSE,TRUE,,240,208,10,23,3,2,243,210,0.5364,0.3421,0,15,2,0,2,0,100,1,0,0,0,0.142857142857143,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,3,2,0,0.333333333333333,1,0,1,0,9,4,0,3,0,10,0,0.666666666666667,1,0,0,1,5,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.6,0.303,0,0.303,0,0,-0.303,0,,,1,0,1,-5,0,0,1,,,13.7081605947048
Houston,Kelvin Sampson,Big 12,FALSE,FALSE,FALSE,FALSE,TRUE,,690,305,264,79,2,1,692,306,0.6934,0.7688,0,32,11,13,19,10,100,1,0,0.40625,0,0.612903225806452,100,0,0.769230769230769,0,0,26,19,0.577777777777778,100,0,0,1,0,0,0,0,8,4,2,0,0,0,0,6,9,3,5,3,0.631578947368421,0.263157894736842,0.3,0,0,27,24,9,11,6,28,9,0.875,1,0,9,0,9,0,10,0,0,100,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0.666666666666667,0.865,0,0.865,0,0,-0.865,0,,,1,1,0,43,0,8,1,,,158.694320699903
Houston Christian,Craig Doty,Southland,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,1,2,1,2,0.3333,0.3333,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.333333333333333,0.207,0.126333333333333,1,0,0,0,0,,,0,0,1,-21,0,0,1,,,16.5724423472667
Howard,Kenny Blakeney,MEAC,FALSE,FALSE,FALSE,FALSE,TRUE,,61,76,61,76,2,2,63,78,0.4468,0.4468,1,5,5,0,2,0,25,1,0,0,0,0.5,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0.6,1,0,1,0,3,1,0,0,0,3,0,0.6,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.5,0.514,0,0.514,0,0,-0.514,0,,,1,0,1,2,0,98,1,,,37.7877358376
Idaho,Alex Pribble,Big Sky,FALSE,FALSE,FALSE,FALSE,TRUE,,11,21,11,21,1,3,12,24,0.3333,0.3333,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,4,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0.25,0.344,0,0.344,0,0,-0.344,0,,,1,0,1,-16,0,0,1,,,14.1302300106
Idaho St.,Ryan Looney,Big Sky,FALSE,FALSE,FALSE,FALSE,TRUE,,53,97,53,97,2,2,55,99,0.3571,0.3571,1,6,6,0,0,0,36,1,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0.412,0,0.412,2,0,-0.412,0,,,1,0,1,-13,0,89,1,,,4.0804231142
Illinois,Brad Underwood,Big Ten,FALSE,FALSE,FALSE,FALSE,TRUE,,252,115,143,88,3,0,255,115,0.6892,0.6239,0,12,8,9,8,6,100,1,0,0.75,0,0.727272727272727,64,0,0.75,0,0,7,8,0.466666666666667,49,0,0,0,1,0,0,0,1,1,0,0,0,0,0,4,4,0,5,2,0.666666666666667,0.625,0.333333333333333,0,0,9,5,9,4,1,10,9,0.833333333333333,1,0,5,0,5,0,6,0,0,36,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0.763,0,0.763,1,0,-0.763,0,,,1,1,0,43,0,14,1,,,103.060929248733
Illinois Chicago,Rob Ehsan,Missouri Valley,FALSE,FALSE,TRUE,FALSE,TRUE,,76,57,0,0,2,1,78,58,0.5735,0.6667,0,5,1,0,0,0,25,1,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,5,2,1,1,0,4,0,4,0,5,0,0,25,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0.666666666666667,0.364,0.302666666666667,0.594,0,0,-0.594,0,,,1,0,1,-18,0,0,1,,,62.6829070163333
Illinois St.,Ryan Pedon,Missouri Valley,FALSE,FALSE,FALSE,FALSE,TRUE,,26,38,26,38,2,1,28,39,0.4179,0.4179,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.333333333333333,1,0,0,2,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.666666666666667,0.469,0,0.469,1,0,-0.469,0,,,1,0,1,-13,0,0,1,,,25.7712666171333
Incarnate Word,Shane Heirman,Southland,FALSE,FALSE,FALSE,FALSE,TRUE,,8,23,8,23,3,1,11,24,0.3143,0.3143,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0.75,0.258,0,0.258,0,0,-0.258,0,,,1,0,1,-16,0,0,1,,,25.3286759246
Indiana,Mike Woodson,Big Ten,FALSE,FALSE,FALSE,FALSE,TRUE,,63,40,63,40,3,0,66,40,0.6226,0.6226,0,4,4,4,2,2,16,0,0,1,0,0.5,4,0,0.5,0,0,1,2,0.333333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,2,0,0,4,2,1,1,0,3,0,3,0,4,0,0,16,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0.576,0,0.576,0,0,-0.576,0,,,1,0,0,-6,0,0,1,,,57.4061847105333
Indiana St.,Matthew Graves,Missouri Valley,FALSE,FALSE,TRUE,FALSE,TRUE,,65,96,0,0,2,2,67,98,0.4061,0.5,0,6,1,0,0,0,36,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.5,0.821,-0.321,0.438,0,0,-0.438,6,,,1,0,1,-21,0,0,1,,,3.6850880462
Iona,Tobin Anderson,MAAC,FALSE,FALSE,FALSE,FALSE,TRUE,,37,33,16,17,1,3,38,36,0.5135,0.4595,0,3,2,0,1,0,9,0,0,0,0,0.333333333333333,1,0,0,0,0,1,1,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0.333333333333333,1,0,1,0,1,0,1,0,0,1,1,0.333333333333333,0,1,0,1,1,0,0,2,2,0,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.485,0,0.485,0,0,-0.485,0,,,1,0,1,-13,0,0,1,,,42.1428374803333
Iowa,Fran McCaffery,Big Ten,FALSE,FALSE,FALSE,FALSE,TRUE,,531,368,280,191,4,0,535,368,0.5925,0.5979,0,29,15,15,12,7,100,1,0,0.517241379310345,0,0.428571428571429,100,0,0.5,0,0,6,12,0.333333333333333,36,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,6,6,1,0.785714285714286,0.5,0.142857142857143,0,0,23,0,14,4,0,24,14,0.827586206896552,1,0,6,0,6,0,7,0,0,49,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0.559,0,0.559,0,0,-0.559,0,,,1,1,0,26,0,-34,1,,,95.2636455602841
Iowa St.,TJ Otzelberger,Big 12,FALSE,FALSE,FALSE,FALSE,TRUE,,169,68,70,35,2,0,171,68,0.7155,0.6729,0,9,4,4,5,3,81,1,0,0.444444444444444,0,0.625,25,0,0.75,0,0,4,5,0.444444444444444,16,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3,3,2,3,1,0.8,0.6,0.333333333333333,0,0,7,1,4,2,0,8,4,0.888888888888889,1,0,3,0,4,0,4,0,0,16,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0.784,0,0.784,1,0,-0.784,0,,,1,1,0,41,0,0,1,,,82.474110473
IU Indy,Paul Corsaro,Horizon,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,2,2,2,2,0.5,0.5,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.188,0.312,1,0,0,0,0,,,0,0,1,-21,0,0,1,,,24.962927048
Jackson St.,Mo Williams,SWAC,FALSE,FALSE,FALSE,FALSE,TRUE,,42,71,29,36,0,4,42,75,0.359,0.4203,0,5,3,0,0,0,25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,5,5,0,25,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0.469,0,0.469,3,0,-0.469,0,,,-1,0,1,-13,0,0,1,,,-1.15623117
Jacksonville,Jordan Mincy,ASUN,FALSE,FALSE,FALSE,FALSE,TRUE,,50,43,50,43,2,2,52,45,0.5361,0.5361,0,4,4,0,0,0,16,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0,0,0,0,1,1,0,0,0,1,0,0.25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0.5,0.485,0,0.485,1,0,-0.485,0,,,1,0,1,-5,0,0,1,,,19.5291041662
Jacksonville St.,Ray Harper,CUSA,FALSE,FALSE,FALSE,FALSE,TRUE,,235,176,146,112,3,1,238,177,0.5735,0.5687,0,13,9,0,4,0,100,1,0,0,0,0.333333333333333,16,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,4,0,0.461538461538462,1,0,1,0,10,0,7,0,0,11,7,0.846153846153846,1,0,0,2,8,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0.75,0.438,0,0.438,1,0,-0.438,0,,,1,0,1,2,0,-65,1,,,46.1511483320256
James Madison,Preston Spradlin,Sun Belt,FALSE,FALSE,TRUE,FALSE,TRUE,,140,109,0,0,2,2,142,111,0.5613,0.5,0,8,1,0,2,0,64,1,0,0,0,0.285714285714286,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0.625,1,0,1,0,5,4,4,1,0,5,4,0.625,0,0,4,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.889,-0.389,0.743,1,0,-0.743,0,,,1,0,0,6,0,0,1,,,46.0629459047429
Kansas,Bill Self,Big 12,FALSE,FALSE,FALSE,FALSE,TRUE,,806,243,588,135,4,0,810,243,0.7692,0.8143,0,32,22,25,25,23,100,1,0,0.78125,0,0.806451612903226,100,0,0.958333333333333,0,0,57,23,0.7125,100,0,0,1,0,0,0,0,14,11,4,3,2,0,0,25,25,0,9,9,0.285714285714286,0.36,0.391304347826087,0,0,30,7,27,19,10,31,27,0.96875,1,0,30,0,30,0,31,0,0,961,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0.676,0,0.676,0,0,-0.676,0,,,1,1,0,43,0,-18,1,,,375.321024118396
Kansas St.,Jerome Tang,Big 12,FALSE,FALSE,FALSE,FALSE,TRUE,,45,25,45,25,2,1,47,26,0.6438,0.6438,0,3,3,3,1,1,9,0,0,1,0,0.333333333333333,1,0,0.333333333333333,0,0,3,1,0.75,9,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,3,1,1,1,0,2,0,2,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.666666666666667,0.559,0,0.559,0,0,-0.559,0,,,1,1,0,16,0,0,1,,,56.3676503716
Kennesaw St.,Antoine Pettway,CUSA,FALSE,FALSE,FALSE,FALSE,TRUE,,15,16,15,16,3,1,18,17,0.5143,0.5143,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.75,0.484,0,0.484,0,0,-0.484,0,,,1,0,1,-13,0,0,1,,,24.3439129326
Kent St.,Rob Senderoff,MAC,FALSE,FALSE,FALSE,FALSE,TRUE,,264,164,264,164,2,1,266,165,0.6172,0.6172,0,14,14,0,2,0,100,1,0,0,0,0.153846153846154,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,0,0.428571428571429,1,0,1,0,10,0,8,1,0,11,8,0.785714285714286,1,0,0,0,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.666666666666667,0.5,0,0.5,0,0,-0.5,0,,,1,0,1,-1,0,31,1,,,49.7889671492132
Kentucky,Mark Pope,SEC,FALSE,FALSE,TRUE,FALSE,TRUE,,187,108,0,0,3,0,190,108,0.6376,1,0,10,1,2,2,1,100,1,0,0.2,0,0.222222222222222,4,0,0.5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0.5,0,0,0,0,7,6,1,1,0,8,1,0.8,1,0,7,0,7,0,8,0,0,64,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0.697,0.303,0.676,1,0,-0.676,0,,,1,1,0,24,0,0,1,,,89.5283662914222
La Salle,Fran Dunphy,A10,FALSE,FALSE,FALSE,FALSE,TRUE,,611,361,31,36,4,0,615,361,0.6301,0.493,0,32,3,0,17,0,100,0,0,0,0,0.53125,100,0,0,0,0,2,17,0.105263157894737,4,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,8,3,0,0.78125,0.176470588235294,0,0,0,24,0,18,5,0,25,18,0.78125,1,0,0,2,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.485,0,0.485,1,0,-0.485,0,,,1,0,1,2,0,0,1,,,61.1503432420831
Lafayette,Mike McGarvey,Patriot,FALSE,FALSE,FALSE,FALSE,TRUE,,13,24,13,24,1,3,14,27,0.3415,0.3415,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3,0,9,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.344,0,0.344,0,0,-0.344,0,,,1,0,1,-16,0,0,1,,,11.061756595
Lamar,Alvin Brooks,Southland,FALSE,FALSE,FALSE,FALSE,TRUE,,84,147,30,63,1,1,85,148,0.3648,0.3263,0,9,4,0,0,0,81,0,0,0,1,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.111111111111111,0,0,0,0,2,0,0,0,0,2,0,0.222222222222222,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0.5,0.576,0,0.576,2,0,-0.576,0,,,1,0,1,-10,0,0,1,,,6.69928553404444
Le Moyne,Nathan Champion,NEC,FALSE,FALSE,FALSE,FALSE,TRUE,,15,17,15,17,1,4,16,21,0.4324,0.4324,0,2,2,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.2,0.469,0,0.469,0,0,-0.469,0,,,1,0,1,-16,0,0,1,,,14.9428227928
Lehigh,Brett Reed,Patriot,FALSE,FALSE,FALSE,FALSE,TRUE,,276,239,276,239,0,4,276,243,0.5318,0.5318,0,17,17,0,2,0,100,1,0,0,0,0.125,4,0,0,0,0,1,2,0.333333333333333,1,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,7,2,0,0.529411764705882,1,0,1,0,11,5,0,1,0,11,0,0.647058823529412,0,1,0,1,5,0,0,2,2,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.438,0,0.438,0,0,-0.438,0,,,-1,0,1,-2,0,120,1,,,-0.389057343537258
Liberty,Ritchie McKay,CUSA,FALSE,FALSE,FALSE,FALSE,TRUE,,409,285,244,127,4,1,413,286,0.5908,0.6596,0,23,11,0,3,0,100,1,0,0,0,0.136363636363636,9,0,0,0,0,1,3,0.25,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,5,2,0,0.347826086956522,0.666666666666667,0,0,0,14,0,8,3,1,15,8,0.652173913043478,1,0,8,0,8,0,9,0,0,81,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.8,0.563,0,0.563,0,0,-0.563,0,,,1,0,1,-1,0,-22,1,,,76.0880432848464
Lindenwood,Kyle Gerdeman,Ohio Valley,FALSE,FALSE,FALSE,FALSE,TRUE,,20,43,20,43,2,3,22,46,0.3235,0.3235,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,3,3,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.4,0.29,0,0.29,0,0,-0.29,0,,,1,0,1,-13,0,0,1,,,11.832419607
Lipscomb,Lennie Acuff,ASUN,FALSE,FALSE,FALSE,FALSE,TRUE,,85,72,85,72,2,3,87,75,0.537,0.537,0,6,6,0,0,0,36,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.5,0,0,0,0,3,2,2,0,0,3,2,0.5,0,1,2,0,2,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.4,0.625,0,0.625,2,0,-0.625,0,,,1,0,1,-5,0,-9,1,,,32.241690454
Little Rock,Darrell Walker,Ohio Valley,FALSE,FALSE,FALSE,FALSE,TRUE,,82,99,82,99,2,2,84,101,0.4541,0.4541,1,7,7,0,0,0,49,1,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.285714285714286,0,0,0,0,2,2,1,0,0,2,1,0.285714285714286,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0.5,0.618,0,0.618,2,0,-0.618,0,,,1,0,1,-8,0,121,1,,,13.9017727504857
LIU,Rod Strickland,NEC,FALSE,FALSE,FALSE,FALSE,TRUE,,10,48,10,48,2,2,12,50,0.1935,0.1935,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0.5,0.241,0,0.241,1,0,-0.241,0,,,1,0,1,-13,0,0,1,,,3.334502555
Long Beach St.,Chris Acker,Big West,FALSE,FALSE,TRUE,FALSE,TRUE,,0,0,0,0,1,3,1,3,0.25,0.25,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.25,0.583,-0.333,1,0,0,0,0,,,0,0,1,-21,0,0,1,,,4.726597718
Longwood,Griff Aldrich,Big South,FALSE,FALSE,FALSE,FALSE,TRUE,,109,86,109,86,4,0,113,86,0.5678,0.5678,0,7,7,0,2,0,49,1,0,0,0,0.333333333333333,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0.428571428571429,1,0,1,0,3,3,3,1,0,4,3,0.571428571428571,1,0,3,0,3,0,4,0,0,16,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0.6,0,0.6,0,0,-0.6,0,,,1,0,1,5,0,18,1,,,57.5311265123619
Louisiana,Bob Marlin,Sun Belt,FALSE,FALSE,FALSE,FALSE,TRUE,,491,320,266,189,1,2,492,322,0.6044,0.583,0,27,15,0,4,0,100,1,0,0,0,0.153846153846154,16,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,4,0,0.555555555555556,1,0,1,0,19,0,11,3,0,19,11,0.703703703703704,0,1,4,0,6,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.333333333333333,0.576,0,0.576,0,0,-0.576,0,,,1,0,1,2,0,-16,1,,,53.0409055252217
Louisiana Monroe,Keith Richard,Sun Belt,FALSE,FALSE,FALSE,FALSE,TRUE,,313,388,163,271,1,3,314,391,0.4454,0.3744,1,24,15,0,0,0,100,1,0,0,1,0,0,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.291666666666667,0,0,0,0,8,5,0,0,0,8,0,0.333333333333333,0,1,0,5,4,1,0,6,6,0,36,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.25,0.367,0,0.367,1,0,-0.367,6,,,1,0,1,-10,0,44,1,,,0.794267064466665
Louisiana Tech,Talvin Hester,CUSA,FALSE,FALSE,FALSE,FALSE,TRUE,,37,28,37,28,3,0,40,28,0.5882,0.5882,0,3,3,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333333333333333,0,0,0,0,1,1,1,0,0,2,1,0.666666666666667,1,0,1,0,1,0,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,0.688,0,0.688,1,0,-0.688,0,,,1,0,1,-5,0,0,1,,,34.4458111817333
Louisville,Pat Kelsey,ACC,FALSE,FALSE,TRUE,FALSE,TRUE,,261,122,0,0,1,1,262,123,0.6805,0.5,0,13,1,1,4,0,100,1,0,0.0769230769230769,0,0.333333333333333,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,5,4,0,0.75,1,0,1,0,11,2,7,3,1,11,7,0.846153846153846,0,0,11,0,11,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0.5,0.25,0.25,0.771,0,0,-0.771,0,,,1,0,1,13,0,0,1,,,92.5873525784872
