,,,SOS Median,SOS Min,SOS Max,SOS STDEV,SOS SUM
Lehigh,,,9.48438244562451,-45.4062983955134,46.9039895914046,40.6225112424219,20.4664560871402
Liberty,,,14.8146413782923,-9.22376451187754,89.1799288816385,43.1944424769917,109.585447126346
Lindenwood,,,2.9313932455,-3.020384150756,8.925020053628,5.09331674926896,11.767422393872
Lipscomb,,,14.1761671328727,8.79294207810133,40.531926807188,13.9301060613905,102.043509340247
Little Rock,,,6.64697217629486,-12.6461486831571,117.093841110245,70.0038098027561,111.094664603383
LIU,,,23.007984539294,16.457932966488,95.16613748747,43.6743320334639,134.632054993252
Long Beach St.,,,3.03091357718,-14.235753712234,45.37595408718,30.6724522490991,34.171113952126
Longwood,,,15.1554977798276,-6.4127884401806,38.3572089907176,22.3899644318028,47.0999183303646
Louisiana,,,-13.4399512711748,-25.0341400300218,-1.84576251232778,16.3966589874751,-26.8799025423496
Louisiana Monroe,,,-2.56806747990333,-10.0461584886933,12.8927921377907,11.6986856889856,0.27856616919407
Louisiana Tech,,,39.4820155507797,34.8921262990553,44.071904802504,6.49108362957907,78.9640311015593
Louisville,,,-1.78143030844252,-12.2209429450899,8.65808232820487,14.763700355312,-3.56286061688503
Loyola Chicago,,,-7.89553558098867,-29.2679965809887,40.1476803348553,35.5515327527468,2.98414817287793
Loyola Marymount,,,6.371261442137,-1.892591525226,14.6351144095,11.6868529439019,12.742522884274
Loyola MD,,,13.86367673774,0.869601563820667,55.24448937774,28.3955573671556,69.9777676793007
LSU,,,28.8530920493225,-31.4644745897735,69.2320734273725,50.6762037596873,66.6206908869215
Maine,,,23.845029856968,19.8156901096833,28.085340590392,4.13527373112762,71.7460605570433
Manhattan,,,8.93657956192978,-20.1204114879562,41.54255385349,30.8484996476745,30.3587219274636
Marist,,,-2.1177738332198,-7.51289099016802,77.399452183896,47.5433180476926,67.7687873605082
Marquette,,,25.8084327325648,-30.9986654482572,42.8768927194368,33.3816850266099,63.4950927363092
Marshall,,,10.61494898324,-20.40849150676,25.4689120970984,23.4087955031713,15.6753695735784
Maryland,,,-3.88775824607533,-19.9213367460753,-0.05507872677086,8.91691505578523,-27.7519319649968
Maryland Eastern Shore,,,26.1277358876,1.6466456226,88.8024396226,38.9943957150382,142.7045570204
Massachusetts,,,14.1970905876983,-10.0739603488175,28.4243534276816,18.4420210325765,46.7445742542608
McNeese St.,,,37.174366384153,19.316525954815,55.032206813491,25.2548001298644,74.348732768306
Memphis,,,23.757934648594,4.15221173005533,29.5629790349104,13.3153420691265,57.4731254135597
Mercer,,,-7.35227415617471,-20.6201251420537,5.91557682970428,18.7635748077753,-14.7045483123494
Mercyhurst,,,26.5860592230556,-10.71310923,59.87151077,29.5638179910033,102.330519986111
Merrimack,,,3.54634977487867,-11.012811314984,71.725862140952,44.1703202829006,64.2594006008467
Miami FL,,,-28.3409382746389,-32.1621192093649,17.4639557556527,27.614721488413,-43.0391017283511
Miami OH,,,4.94911569439578,-32.329456682606,81.682016831344,58.1323865101347,54.3016758431338
Michigan,,,25.007884479974,-9.47069712804,91.961325823604,51.5751735778598,107.498513175538
Michigan St.,,,3.48337870072835,-27.0629917957359,18.1279049175137,22.1113070676185,-1.9683294767655
Middle Tennessee,,,12.6731626125967,-65.3386530620153,120.344813258487,93.2357025701147,67.6793228090684
Milwaukee,,,2.66409070761022,2.05274031909422,3.27544109612622,0.864580010801388,5.32818141522044
Minnesota,,,-2.50444376971678,-20.35911744453,22.293398739192,17.6243954879437,-3.07460624477156
Mississippi,,,-12.249314601948,-41.974732195948,43.611972605376,35.8011904029959,-22.861388794468
Mississippi St.,,,12.4799938425861,-15.146123276984,33.742969322354,21.1059417721627,43.5568337305422
Mississippi Valley St.,,,20.5618090701611,-115.018297739108,60.5392700592327,92.0150552543935,-33.9172186097142
Missouri,,,-9.76717632232669,-31.6977360351807,153.07094646319,85.8902825083368,101.838857783356
Missouri St.,,,35.4821072407911,26.3060411213391,44.6581733602431,12.9769171553613,70.9642144815822
Monmouth,,,1.1140317022206,-17.4686464777794,49.6956341244126,30.9304919906218,34.4550510510744
Montana,,,13.5814880915964,13.5814880915964,13.5814880915964,–,13.5814880915964
Montana St.,,,9.331020120604,-13.16519102613,41.392516273274,27.4182496319317,37.558345367748
Morehead St.,,,5.51084383078,-6.17292163530067,30.30804747078,18.6291563181161,29.6459696662593
Morgan St.,,,0.738238077667714,-30.0885075580403,3.21645814371771,18.5546515353055,-26.1338113366549
Mount St. Mary's,,,5.34710270528511,-25.50441756524,39.4054215914267,32.4681192548862,19.2481067314718
Murray St.,,,59.5653034296139,9.98154819521889,109.149058664009,70.1220191258694,119.130606859228
N.C. State,,,-6.9606016867883,-15.1786120874503,9.25868003825134,12.4350448401448,-12.8805337359873
Navy,,,-5.2158002941275,-51.7333412311671,32.5963522844874,39.377060051044,-29.5685895349347
Nebraska,,,-9.170775622198,-42.616895032602,13.463658309932,23.3254489509087,-47.494787967066
Nebraska Omaha,,,31.7084799315027,10.224830532256,83.2765673469353,31.3323773624791,156.918357742197
Nevada,,,22.9709839321067,21.0222416102253,58.0300832976378,17.8968506159086,124.994292772076
New Hampshire,,,-0.852655849257224,-25.4176841897098,12.6375205234862,13.5545432850317,-12.83058520068
New Haven,,,0,0,0,–,0
New Mexico,,,7.0274447521497,-15.3433369102745,76.1887821511567,39.7426358703651,74.9003347451816
