,Players,Team,Location,Opponent,Opponent Conference,Power,Top 25,,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,OPP ACTIVE VALUE,OPP HISTORICAL VALUE,TEAM ACTIVE VALUE,TEAM HISTORICAL VALUE,Doubles,Double Doube,Triple Double,0-3+ FG,Perfect 2 FG min 3,Perfect 3 FG min 3,Points Leader,Def Reb Leader,Off Reb Leader,Steal Leader,Assist Leader,Foul Trouble,20+ minutes,20+ points,SM,Line,Clutch ,Overtime,Attendance,Player Points,Top 7,STR,Min,FGM,FGA,3M,3A,FTM,FTA,OReb,DReb,AST,STL,TO,PF,PTS,Player Name
Team:,,,,,,,,,Sum:,Sum:,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sum:,,,,,,,,,,,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Sum:,Count (Unique):
,Wesley Celichowski,Air Force,HOME,LIU,NEC,0,0,Starter,1,26,4,5,0,0,11,16,2,2,1,0,0,2,19,0,7.111,0,10.946,1,0,0,0,0,0,1,0,0,0,0,0,1,0,-9,-11.5,1,0,409,0,TRUE,1,26,4,5,0,0,11,16,2,2,1,0,0,2,19,Wesley Celichowski
,Wesley Celichowski,Air Force,HOME,Belmont,Missouri Valley,0,0,Starter,1,18,3,7,1,3,1,2,0,1,3,0,0,1,8,0,30.544,0,10.946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,2.5,0,0,2001,0,TRUE,1,18,3,7,1,3,1,2,0,1,3,0,0,1,8,Wesley Celichowski
Akron,,,,,,,,,10,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,9,347,40,115,18,45,16,21,23,46,34,13,22,21,114,8
,Amani Lyles,Akron,AWAY,Arkansas St.,Sun Belt,0,,Starter,1,23,2,8,0,4,0,0,5,4,1,0,0,2,4,,22.157,,38.191,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-5,5.5,1,1,4610,0,TRUE,1,23,2,8,0,4,0,0,5,4,1,0,0,2,4,Amani Lyles
,Amani Lyles,Akron,AWAY,Saint Mary's,WCC,0,0,Bench,0,18,5,7,5,6,0,0,0,2,2,0,1,3,15,0,64.285,0,38.191,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,13.5,0,0,"3,316",0,TRUE,0,18,5,7,5,6,0,0,0,2,2,0,1,3,15,Amani Lyles
,Bowen Hardman,Akron,AWAY,Arkansas St.,Sun Belt,0,,Bench,0,5,1,3,1,3,0,0,0,0,0,0,0,0,3,,22.157,,38.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,5.5,1,1,4610,0,FALSE, , , , , , , , , , , , , , , , 
,Bowen Hardman,Akron,AWAY,Saint Mary's,WCC,0,0,Bench,0,11,1,4,0,3,0,0,0,0,0,0,0,2,2,0,64.285,0,38.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,13.5,0,0,"3,316",0,FALSE, , , , , , , , , , , , , , , , 
,Isaiah Gray,Akron,AWAY,Saint Mary's,WCC,0,0,Starter,1,25,2,6,2,3,0,0,4,3,4,1,0,4,6,0,64.285,0,38.191,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-19,13.5,0,0,"3,316",0,TRUE,1,25,2,6,2,3,0,0,4,3,4,1,0,4,6,Isaiah Gray
,Isaiah Gray,Akron,AWAY,Arkansas St.,Sun Belt,0,,Bench,0,32,2,3,0,0,0,0,4,3,7,2,4,1,4,,22.157,,38.191,0,0,0,0,0,0,0,0,0,0,1,0,1,0,-5,5.5,1,1,4610,0,TRUE,0,32,2,3,0,0,0,0,4,3,7,2,4,1,4,Isaiah Gray
,James Okonkwo,Akron,AWAY,Arkansas St.,Sun Belt,0,,Starter,1,22,2,5,0,0,1,2,3,10,0,0,2,1,5,,22.157,,38.191,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-5,5.5,1,1,4610,0,TRUE,1,22,2,5,0,0,1,2,3,10,0,0,2,1,5,James Okonkwo
,James Okonkwo,Akron,AWAY,Saint Mary's,WCC,0,0,Starter,1,23,2,5,0,0,0,0,3,6,3,1,3,2,4,0,64.285,0,38.191,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-19,13.5,0,0,"3,316",0,TRUE,1,23,2,5,0,0,0,0,3,6,3,1,3,2,4,James Okonkwo
,Josiah Harris,Akron,AWAY,Arkansas St.,Sun Belt,0,,Starter,1,27,3,10,3,7,4,7,3,5,2,1,2,2,13,,22.157,,38.191,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-5,5.5,1,1,4610,0,TRUE,1,27,3,10,3,7,4,7,3,5,2,1,2,2,13,Josiah Harris
,Josiah Harris,Akron,AWAY,Saint Mary's,WCC,0,0,Starter,1,22,4,9,3,6,5,5,0,1,0,0,0,1,16,0,64.285,0,38.191,1,0,0,0,0,1,0,0,0,0,0,0,1,0,-19,13.5,0,0,"3,316",0,TRUE,1,22,4,9,3,6,5,5,0,1,0,0,0,1,16,Josiah Harris
,Nate Johnson,Akron,AWAY,Saint Mary's,WCC,0,0,Starter,1,27,3,9,2,3,0,0,0,1,2,2,4,2,8,0,64.285,0,38.191,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-19,13.5,0,0,"3,316",0,TRUE,1,27,3,9,2,3,0,0,0,1,2,2,4,2,8,Nate Johnson
,Nate Johnson,Akron,AWAY,Arkansas St.,Sun Belt,0,,Bench,0,31,4,15,1,4,2,2,1,1,2,3,2,1,11,,22.157,,38.191,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-5,5.5,1,1,4610,0,TRUE,0,31,4,15,1,4,2,2,1,1,2,3,2,1,11,Nate Johnson
,Seth Wilson,Akron,AWAY,Arkansas St.,Sun Belt,0,,Bench,0,12,2,5,1,3,0,0,0,0,1,1,2,1,5,,22.157,,38.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,5.5,1,1,4610,0,FALSE, , , , , , , , , , , , , , , , 
,Seth Wilson,Akron,AWAY,Saint Mary's,WCC,0,0,Bench,0,12,1,4,0,3,0,0,0,0,0,1,0,1,2,0,64.285,0,38.191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19,13.5,0,0,"3,316",0,FALSE, , , , , , , , , , , , , , , , 
